# verticals
slug,name,category,category_name_sr,pricing_tier,market_index,market_intensity,tam_estimate_usd,competition_score,primary_deliverable_id,vertical_package_client_eur,primary_deliverable_client_eur,resource_cost_eur,owner_net_vertical_package_eur,owner_net_primary_eur,owner_net_after_quality_eur,has_page,has_outreach,href
admin-support-spreadsheet-management,Spreadsheet Management (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-spreadsheet-management
admin-support-travel-management,Travel Management (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-travel-management
admin-support-travel-planning,Travel Planning (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-travel-planning
admin-support-virtual-assistant,Virtual Assistant (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-virtual-assistant
admin-support-web-research,Web Research (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-web-research
agriculture-agri-insurance,Agri Insurance (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,false,/solutions/agriculture-agri-insurance
agriculture-agritech,Agritech (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-agritech
agriculture-apiary,Apiary (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-apiary
agriculture-aquaculture,Aquaculture (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-aquaculture
agriculture-cooperative,Cooperative (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-cooperative
agriculture-crop-consulting,Crop Consulting (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-crop-consulting
agriculture-dairy,Dairy (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-dairy
agriculture-farm,Farm (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-farm
agriculture-farm-equipment,Farm Equipment (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-farm-equipment
agriculture-farm-to-table,Farm To Table (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-farm-to-table
agriculture-fertilizer,Fertilizer (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-fertilizer
agriculture-forestry,Forestry (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-forestry
agriculture-greenhouse,Greenhouse (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-greenhouse
agriculture-hydroponics,Hydroponics (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-hydroponics
agriculture-irrigation,Irrigation (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-irrigation
agriculture-livestock,Livestock (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-livestock
agriculture-organic-farm,Organic Farm (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-organic-farm
agriculture-seed-supplier,Seed Supplier (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-seed-supplier
agriculture-soil-testing,Soil Testing (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-soil-testing
agriculture-vineyard,Vineyard (Agriculture),agriculture,Poljoprivreda,standard,0.95,52,121200,56,vertical-package,344,344,63,225,225,214,true,true,/solutions/agriculture-vineyard
ai-data-ai-agent-development,Ai Agent Development (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-ai-agent-development
ai-data-ai-automation,Ai Automation (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-ai-automation
ai-data-ai-content-creation,Ai Content Creation (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-ai-content-creation
ai-data-ai-integration,Ai Integration (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-ai-integration
ai-data-artificial-intelligence,Artificial Intelligence (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-artificial-intelligence
ai-data-big-data,Big Data (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-big-data
ai-data-business-intelligence,Business Intelligence (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-business-intelligence
ai-data-chatbot-development,Chatbot Development (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-chatbot-development
ai-data-computer-vision,Computer Vision (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-computer-vision
ai-data-data-analysis,Data Analysis (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-data-analysis
ai-data-data-engineering,Data Engineering (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-data-engineering
ai-data-data-mining,Data Mining (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-data-mining
ai-data-data-science,Data Science (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-data-science
ai-data-data-visualization,Data Visualization (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-data-visualization
ai-data-deep-learning,Deep Learning (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-deep-learning
ai-data-fine-tuning-models,Fine Tuning Models (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-fine-tuning-models
ai-data-generative-ai,Generative Ai (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-generative-ai
ai-data-llm-development,Llm Development (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-llm-development
ai-data-machine-learning,Machine Learning (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-machine-learning
ai-data-natural-language-processing,Natural Language Processing (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-natural-language-processing
ai-data-predictive-analytics,Predictive Analytics (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-predictive-analytics
ai-data-prompt-engineering,Prompt Engineering (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-prompt-engineering
ai-data-rag-systems,Rag Systems (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-rag-systems
ai-data-statistical-analysis,Statistical Analysis (AI & Data),ai_data,AI & Data,premium,1.38,68,137200,64,integration,700,4653,63,510,3566,485,true,true,/solutions/ai-data-statistical-analysis
audio-music-audio-cleanup,Audio Cleanup (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-audio-cleanup
audio-music-audio-editing,Audio Editing (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-audio-editing
audio-music-audio-mastering,Audio Mastering (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-audio-mastering
audio-music-audio-mixing,Audio Mixing (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-audio-mixing
audio-music-audiobook-production,Audiobook Production (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-audiobook-production
audio-music-beat-making,Beat Making (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-beat-making
audio-music-beat-production,Beat Production (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-beat-production
audio-music-jingle-creation,Jingle Creation (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-jingle-creation
audio-music-jingle-production,Jingle Production (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-jingle-production
audio-music-music-licensing,Music Licensing (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-music-licensing
audio-music-music-production,Music Production (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-music-production
audio-music-narration,Narration (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-narration
audio-music-podcast-editing,Podcast Editing (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-podcast-editing
audio-music-podcast-production,Podcast Production (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-podcast-production
audio-music-songwriting,Songwriting (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-songwriting
audio-music-sound-design,Sound Design (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-sound-design
audio-music-voice-over,Voice Over (Audio & Music),audio_music,Audio & muzika,standard,0.94,50,118800,55,landing,339,1684,63,221,1282,210,true,true,/solutions/audio-music-voice-over
automotive-auto-finance,Auto Finance (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-auto-finance
automotive-auto-repair,Auto Repair (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-auto-repair
automotive-body-shop,Body Shop (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-body-shop
automotive-car-sharing,Car Sharing (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-car-sharing
automotive-car-wash,Car Wash (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-car-wash
automotive-classic-cars,Classic Cars (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-classic-cars
automotive-customs-auto,Customs Auto (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-customs-auto
automotive-dealership,Dealership (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-dealership
automotive-detailing,Detailing (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-detailing
automotive-driving-instructor,Driving Instructor (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-driving-instructor
automotive-ev-charging,Ev Charging (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-ev-charging
automotive-fleet-service,Fleet Service (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-fleet-service
automotive-inspection,Inspection (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-inspection
automotive-motorcycle,Motorcycle (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-motorcycle
automotive-parts-supplier,Parts Supplier (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-parts-supplier
automotive-recycling-auto,Recycling Auto (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-recycling-auto
automotive-rental,Rental (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-rental
automotive-tire-shop,Tire Shop (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-tire-shop
automotive-towing,Towing (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-towing
automotive-truck-service,Truck Service (Automotive),automotive,Automobili,standard,1.08,52,120400,56,vertical-package,391,391,63,262,262,249,true,true,/solutions/automotive-truck-service
beauty-barber-academy,Barber Academy (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-barber-academy
beauty-barbershop,Barbershop (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-barbershop
beauty-bridal-beauty,Bridal Beauty (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-bridal-beauty
beauty-brow-lash,Brow Lash (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-brow-lash
beauty-cosmetology,Cosmetology (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-cosmetology
beauty-hair-extensions,Hair Extensions (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-hair-extensions
beauty-laser-clinic,Laser Clinic (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-laser-clinic
beauty-makeup,Makeup (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,false,/solutions/beauty-makeup
beauty-massage,Massage (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-massage
beauty-med-spa,Med Spa (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-med-spa
beauty-mobile-beauty,Mobile Beauty (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-mobile-beauty
beauty-nail-studio,Nail Studio (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-nail-studio
beauty-organic-beauty,Organic Beauty (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-organic-beauty
beauty-perfume,Perfume (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-perfume
beauty-salon,Salon (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-salon
beauty-skincare,Skincare (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-skincare
beauty-spa,Spa (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-spa
beauty-tanning,Tanning (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-tanning
beauty-tattoo,Tattoo (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-tattoo
beauty-wellness,Wellness (Beauty),beauty,Lepota i wellness,budget,0.9,44,107600,52,vertical-package,238,238,63,140,140,133,true,true,/solutions/beauty-wellness
business-consulting-business-analysis,Business Analysis (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-business-analysis
business-consulting-business-coaching,Business Coaching (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-business-coaching
business-consulting-business-consulting,Business Consulting (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-business-consulting
business-consulting-business-planning,Business Planning (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-business-planning
business-consulting-change-management,Change Management (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-change-management
business-consulting-competitive-analysis,Competitive Analysis (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-competitive-analysis
business-consulting-digital-transformation,Digital Transformation (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-digital-transformation
business-consulting-feasibility-studies,Feasibility Studies (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-feasibility-studies
business-consulting-management-consulting,Management Consulting (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-management-consulting
business-consulting-market-research,Market Research (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-market-research
business-consulting-operations-consulting,Operations Consulting (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-operations-consulting
business-consulting-process-improvement,Process Improvement (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-process-improvement
business-consulting-process-optimization,Process Optimization (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-process-optimization
business-consulting-startup-consulting,Startup Consulting (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-startup-consulting
business-consulting-strategy-consulting,Strategy Consulting (Business & Consulting),business_consulting,Biznis konsalting,premium,1.26,58,134800,59,audit,625,2408,63,450,1854,428,true,true,/solutions/business-consulting-strategy-consulting
community-moderation-community-management,Community Management (Community & Moderation),community_moderation,Community & moderacija,budget,0.88,48,123600,54,ai-support-retainer,237,329,63,139,222,132,true,true,/solutions/community-moderation-community-management
community-moderation-discord-management,Discord Management (Community & Moderation),community_moderation,Community & moderacija,budget,0.88,48,123600,54,ai-support-retainer,237,329,63,139,222,132,true,true,/solutions/community-moderation-discord-management
community-moderation-forum-moderation,Forum Moderation (Community & Moderation),community_moderation,Community & moderacija,budget,0.88,48,123600,54,ai-support-retainer,237,329,63,139,222,132,true,true,/solutions/community-moderation-forum-moderation
community-moderation-telegram-management,Telegram Management (Community & Moderation),community_moderation,Community & moderacija,budget,0.88,48,123600,54,ai-support-retainer,237,329,63,139,222,132,true,true,/solutions/community-moderation-telegram-management
construction-architecture,Architecture (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-architecture
construction-civil-engineering,Civil Engineering (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-civil-engineering
construction-concrete,Concrete (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-concrete
construction-demolition,Demolition (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-demolition
construction-electrician,Electrician (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-electrician
construction-flooring,Flooring (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-flooring
construction-general-contractor,General Contractor (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-general-contractor
construction-hvac,Hvac (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-hvac
construction-insulation,Insulation (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-insulation
construction-interior-design,Interior Design (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-interior-design
construction-landscaping,Landscaping (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-landscaping
construction-painting,Painting (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-painting
construction-plumber,Plumber (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-plumber
construction-pool-builder,Pool Builder (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-pool-builder
construction-renovation,Renovation (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-renovation
construction-roofing,Roofing (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-roofing
construction-scaffolding,Scaffolding (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-scaffolding
construction-solar-install,Solar Install (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-solar-install
construction-surveying,Surveying (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-surveying
construction-windows,Windows (Construction),construction,Građevina,standard,1.05,52,122000,56,vertical-package,380,380,63,254,254,241,true,true,/solutions/construction-windows
creator-services-newsletter-management,Newsletter Management (Creator Services),creator_services,Creator usluge,standard,0.98,62,137200,61,landing,363,1806,63,240,1379,228,true,true,/solutions/creator-services-newsletter-management
creator-services-podcast-production,Podcast Production (Creator Services),creator_services,Creator usluge,standard,0.98,62,137200,61,landing,363,1806,63,240,1379,228,true,true,/solutions/creator-services-podcast-production
